CVE_GEO,HOMI_DOLOSO,EXTORSION,SECUESTRO,NARCOMENUDEO,FEMINICIDIO,HOMI_DOLOSO_ANN,EXTORSION_ANN,SECUESTRO_ANN,NARCOMENUDEO_ANN,FEMINICIDIO_ANN,HOMI_DOLOSO_R100K,EXTORSION_R100K,SECUESTRO_R100K,NARCOMENUDEO_R100K,FEMINICIDIO_R100K,NARCO_PRESSURE,ACLED_EVENTS,ACLED_FATALITIES,ACLED_BATTLES,ACLED_VAC,ACLED_STRAT,ACLED_EVENTS_ANN,ACLED_FAT_ANN,ACLED_FAT_R100K
07001,1,0,1,0,0,3,0,3,0,0,16.672224074691563,0.0,16.672224074691563,0.0,0.0,0.0518061576080915,3,2,0,2,1,0.4,0.2,1.1
07002,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0.1,0.0,0.0
07003,0,0,0,2,0,0,0,0,6,0,0.0,0.0,0.0,22.30566192051749,0.0,0.0050076211011561,4,2,2,1,1,0.5,0.2,0.7
07004,1,0,0,1,0,3,0,0,3,0,8.29646017699115,0.0,0.0,8.29646017699115,0.0,0.0076922013274336,14,2,2,7,5,1.8,0.2,0.6
07005,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,12.238903394255871,0.0,0.0027476338120104,3,3,0,3,0,0.4,0.4,1.6
07006,1,0,0,0,0,3,0,0,0,0,9.45328501654325,0.0,0.0,0.0,0.0,0.0066425082716243,15,1,10,3,2,1.9,0.1,0.3
07007,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,8,1,3,0,0.5,1.0,8.9
07008,2,0,0,2,0,6,0,0,6,0,18.7811062071556,0.0,0.0,18.7811062071556,0.0,0.0174132156384011,7,2,3,3,1,0.9,0.2,0.6
07009,3,0,0,7,0,9,0,0,21,0,21.879178315303268,0.0,0.0,51.05141606904097,0.0,0.0268348122037194,4,4,0,2,2,0.5,0.5,1.2
07010,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1,1,1,0.4,1.1,14.9
07011,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,4,0.6,0.0,0.0
07012,2,0,0,5,1,6,0,0,15,3,9.28332714444857,0.0,0.0,23.208317861121422,4.641663572224285,0.0117333518999876,14,45,5,6,3,1.8,5.6,8.7
07013,0,1,0,0,0,0,3,0,0,0,0.0,8.050881571532083,0.0,0.0,0.0,0.0172825591068888,4,2,2,1,1,0.5,0.2,0.5
07014,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,2,2,0.5,0.2,0.8
07015,0,0,0,2,1,0,0,0,6,3,0.0,0.0,0.0,11.973180076628353,5.986590038314176,0.002687978927203,2,1,0,1,1,0.2,0.1,0.2
07016,0,0,0,1,0,0,0,0,3,0,0.0,0.0,0.0,17.027073046143368,0.0,0.0038225778988591,1,1,0,1,0,0.1,0.1,0.6
07017,3,0,0,29,2,9,0,0,87,6,10.214968333598168,0.0,0.0,98.74469389144896,6.809978889065444,0.0293459015277052,13,7,3,5,5,1.6,0.9,1.0
07018,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0.1,0.0,0.0
07019,1,0,0,2,0,3,0,0,6,0,1.8052931194261572,0.0,0.0,3.610586238852315,0.0,0.0020790959092057,8,1,1,2,5,1.0,0.1,0.1
07020,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,80,7,8,5,2.5,10.0,20.0
07021,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.1,0.0,0.0
07022,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0.1,0.0,0.0
07023,0,0,1,1,0,0,0,3,3,0,0.0,0.0,2.9421283356380004,2.9421283356380004,0.0,0.0077353457491149,12,11,4,7,1,1.5,1.4,1.4
07024,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
07025,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,2,0,0.2,0.1,1.3
07026,0,0,0,7,0,0,0,0,21,0,0.0,0.0,0.0,44.33091976103523,0.0,0.0099522914863524,40,26,18,14,8,5.0,3.2,6.8
07027,1,0,0,10,0,3,0,0,30,0,2.6767789426723176,0.0,0.0,26.76778942672318,0.0,0.0078902520633504,15,8,3,5,7,1.9,1.0,0.9
